timestamp_iso_th,indoor_PM1.0,indoor_PM2.5,indoor_PM10,outdoor_PM1.0,outdoor_PM2.5,outdoor_PM10,bme_temp_C,bme_rh_%,bme_pressure_hPa,device_id
2025-09-22T14:06:02+07:00,4,7,7,7,10,12,31.4,63.4,968.8,raspberrypi5
2025-09-22T14:06:03+07:00,4,7,7,7,10,12,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:06:04+07:00,5,8,8,7,10,12,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:06:05+07:00,5,8,8,7,10,12,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:06:06+07:00,5,8,8,7,11,12,31.4,63.4,969.0,raspberrypi5
2025-09-22T14:06:07+07:00,5,8,8,7,11,12,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:06:08+07:00,5,8,8,7,11,12,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:06:09+07:00,6,8,9,7,12,13,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:06:10+07:00,6,8,9,7,12,13,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:06:11+07:00,5,7,8,7,12,13,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:06:13+07:00,4,7,7,7,11,13,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:06:14+07:00,4,7,7,7,11,13,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:06:15+07:00,5,8,8,7,11,13,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:06:16+07:00,5,7,8,7,12,13,31.4,63.5,969.0,raspberrypi5
2025-09-22T14:06:17+07:00,5,7,8,7,12,13,31.4,63.4,969.0,raspberrypi5
2025-09-22T14:06:18+07:00,5,7,8,7,12,13,31.4,63.5,968.8,raspberrypi5
2025-09-22T14:06:19+07:00,5,8,8,6,11,11,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:06:20+07:00,5,8,8,6,11,11,31.4,63.5,969.0,raspberrypi5
2025-09-22T14:06:21+07:00,5,8,8,6,11,11,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:06:22+07:00,4,7,8,6,11,11,31.4,63.5,968.8,raspberrypi5
2025-09-22T14:06:23+07:00,4,7,8,7,12,12,31.4,63.5,968.8,raspberrypi5
2025-09-22T14:06:24+07:00,4,7,8,7,12,12,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:06:25+07:00,4,7,7,7,11,11,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:06:26+07:00,5,8,8,6,10,10,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:06:27+07:00,5,8,8,6,10,10,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:06:28+07:00,5,7,8,6,11,11,31.4,63.5,969.0,raspberrypi5
2025-09-22T14:06:29+07:00,5,7,8,6,11,11,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:06:30+07:00,5,7,8,7,12,12,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:06:31+07:00,5,7,8,7,11,11,31.4,63.5,969.0,raspberrypi5
2025-09-22T14:06:32+07:00,4,6,7,7,11,11,31.4,63.5,969.0,raspberrypi5
2025-09-22T14:06:33+07:00,4,6,7,7,11,11,31.4,63.5,969.0,raspberrypi5
2025-09-22T14:06:34+07:00,4,6,7,6,10,10,31.4,63.5,969.0,raspberrypi5
2025-09-22T14:06:35+07:00,4,6,7,6,10,10,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:06:37+07:00,5,7,8,6,10,10,31.4,63.5,968.8,raspberrypi5
2025-09-22T14:06:38+07:00,5,7,8,6,10,10,31.4,63.6,968.9,raspberrypi5
2025-09-22T14:06:39+07:00,5,7,8,6,10,10,31.4,63.6,968.9,raspberrypi5
2025-09-22T14:06:40+07:00,4,6,7,6,10,10,31.4,63.6,968.9,raspberrypi5
2025-09-22T14:06:41+07:00,4,6,7,6,9,9,31.4,63.6,968.8,raspberrypi5
2025-09-22T14:06:42+07:00,4,6,7,6,9,9,31.4,63.6,968.8,raspberrypi5
2025-09-22T14:06:43+07:00,4,6,7,6,9,9,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:06:44+07:00,5,8,8,6,9,9,31.4,63.5,968.8,raspberrypi5
2025-09-22T14:06:45+07:00,5,8,8,6,9,9,31.4,63.6,968.8,raspberrypi5
2025-09-22T14:06:46+07:00,5,8,8,6,9,9,31.4,63.6,968.9,raspberrypi5
2025-09-22T14:06:47+07:00,5,8,9,6,8,8,31.4,63.6,968.9,raspberrypi5
2025-09-22T14:06:48+07:00,5,8,9,5,7,7,31.4,63.6,968.8,raspberrypi5
2025-09-22T14:06:49+07:00,5,8,9,5,7,7,31.4,63.6,968.9,raspberrypi5
2025-09-22T14:06:50+07:00,5,9,9,4,7,7,31.4,63.6,968.9,raspberrypi5
2025-09-22T14:06:51+07:00,5,9,9,4,7,7,31.4,63.6,968.9,raspberrypi5
2025-09-22T14:06:52+07:00,5,9,9,4,7,7,31.4,63.6,968.8,raspberrypi5
2025-09-22T14:06:53+07:00,5,8,9,4,7,7,31.4,63.6,968.9,raspberrypi5
